ROI,X,Y,T,Contour,Max. Feret diam.,Elongation ratio,Avg. ch 0
0,433.15,734.9,0,24.8132034356,8.5440037453,1.9794194785,66.725
1,398.3076923077,721.9230769231,0,19.1566017178,7.0710678119,2.2253415849,81.3461538462
2,383.8125,718.4375,0,18.4131844822,7.0710678119,3.1417462953,73.0625
3,322.6428571429,712.7142857143,0,12.7281745931,4.2426406871,1.2181566014,66.5714285714
4,394,710.5,0,16.713708499,6.4031242374,1.6187962999,79.875
5,466.2777777778,704.6111111111,0,14.913708499,5.0990195136,1.5882631021,63
6,378.1612903226,702.7419354839,0,21.8563491861,8.2462112512,2.308238809,74.5161290323
7,447.5,690.5,0,11.313708499,3.1622776602,1,71
8,495.7272727273,688.9090909091,0,12.0852813742,4.472135955,2.1040420665,61.7272727273
9,407.0816326531,685.8571428571,0,25.9708152802,10.1980390272,2.5303137886,79.7755102041
10,508.3333333333,673.3333333333,0,9.2568542495,2.8284271247,1.7320508076,60.1666666667
11,429.1621621622,673.1081081081,0,31.7560966544,12.6491106407,3.2565468491,74
12,393.8214285714,667.7857142857,0,18.3850288425,6.3245553203,1.552266389,78.4285714286
13,278.4716981132,659.1509433962,0,27.1276695297,9.4339811321,1.3745750257,68.4716981132
14,248,651.5,0,13.8852813742,5,1.433293184,62.2222222222
15,674.5714285714,648.8571428571,0,14.1423881554,5.0990195136,2.4225937258,57.8571428571
16,528.2295081967,652.2131147541,0,31.3705627485,12.0830459736,2.4690284055,79.5245901639
17,431.5,638.5,0,5.6568542495,1.4142135624,0,83.75
18,340.1111111111,646.3333333333,0,10.2852813742,3.1622776602,1.5572201791,73.6666666667
19,251.125,637.125,0,8.8710678119,2.8284271247,1.209896735,57.5
20,462.8421052632,637.8421052632,0,14.5279220614,4.472135955,1.1786322537,76.7368421053
21,488.5094339623,638.6981132075,0,47.5695526217,19.4164878389,3.0233351841,96.9433962264
22,604.2815533981,638.640776699,0,47.955591591,15.2643375225,1.3974495804,85.0097087379
23,255.8571428571,633.7142857143,0,9.5139610307,2.8284271247,1.3355192342,69.1428571429
24,286.7272727273,634.2727272727,0,12.9852813742,3.6055512755,1.3745836769,56.0909090909
25,582.7826086957,633.3043478261,0,16.5850288425,5.3851648071,1.3740982326,64.0434782609
26,705.3529411765,634,0,14.5279220614,4.1231056256,1.0317047702,54.2352941176
27,421.3333333333,628.3333333333,0,6.0426406871,1.4142135624,0,75.6666666667
28,618.5,631.7,0,21.3421356237,7.2801098893,1.3737056209,86.4
29,512,625,0,3.1415926536,0,0,64
30,444.2380952381,628.4285714286,0,17.2279220614,6.4031242374,1.9828203365,88.4761904762
31,706.5,621.2857142857,0,12.0852813742,3.6055512755,1,57.1428571429
