x-512,y-512,time,size,intensity,x-1024,y-1024
207,370,0,11,695,414,740
196,367,0,7,678,392,734
189,365,0,12,801,378,730
210,363,0,9,831,420,726
214,361,0,33,896,428,722
167,360,0,3,641,334,720
172,359,0,13,703,344,718
159,354,0,15,966,318,708
195,353,0,35,1128,390,706
180,351,0,15,734,360,702
225,350,0,41,853,450,700
187,348,0,41,1032,374,696
151,347,0,3,634,302,694
238,346,0,3,737,476,692
143,345,0,9,647,286,690
222,344,0,11,910,444,688
212,344,0,10,807,424,688
158,344,0,7,723,316,688
243,342,0,26,812,486,684
310,341,0,18,643,620,682
139,341,0,6,632,278,682
175,340,0,1,701,350,680
290,339,0,1,550,580,678
201,339,0,32,1091,402,678
155,339,0,9,749,310,678
238,338,0,18,825,476,676
185,337,0,5,725,370,674
140,337,0,2,648,280,674
369,336,0,17,663,738,672
345,336,0,16,617,690,672
249,335,0,21,815,498,670
203,335,0,5,781,406,670
228,334,0,15,881,456,668
222,334,0,4,871,444,668
377,333,0,2,592,754,666
245,332,0,1,762,490,664
160,332,0,1,667,320,664
307,331,0,17,694,614,662
256,331,0,6,765,512,662
168,331,0,12,715,336,662
128,331,0,12,685,256,662
387,330,0,15,624,774,660
279,330,0,23,641,558,660
221,329,0,8,1004,442,658
205,329,0,8,845,410,658
175,329,0,14,818,350,658
286,328,0,10,650,572,656
250,328,0,1,776,500,656
235,328,0,19,908,470,656
146,328,0,1,637,292,656
212,327,0,45,1036,424,654
195,326,0,36,1013,390,652
137,326,0,28,1000,274,652
183,325,0,8,840,366,650
133,325,0,7,789,266,650
258,324,0,30,1320,516,648
122,324,0,17,842,244,648
344,323,0,21,723,688,646
332,323,0,70,823,664,646
216,323,0,4,850,432,646
175,323,0,1,771,350,646
394,322,0,22,663,788,644
350,321,0,17,732,700,642
276,321,0,11,663,552,642
169,321,0,13,926,338,642
163,321,0,6,734,326,642
310,320,0,50,837,620,640
225,319,0,5,850,450,638
385,318,0,3,673,770,636
254,318,0,3,802,508,636
214,318,0,14,1017,428,636
204,318,0,10,853,408,636
374,317,0,10,824,748,634
264,317,0,9,770,528,634
229,316,0,22,964,458,632
198,316,0,1,738,396,632
180,316,0,9,767,360,632
396,315,0,4,635,792,630
351,315,0,16,815,702,630
336,315,0,6,738,672,630
294,315,0,52,1233,588,630
239,315,0,44,1183,478,630
141,315,0,17,784,282,630
124,315,0,23,865,248,630
118,315,0,4,716,236,630
345,314,0,5,663,690,628
307,314,0,18,1161,614,628
290,314,0,15,874,580,628
329,313,0,18,693,658,626
315,313,0,9,787,630,626
321,312,0,3,761,642,624
208,312,0,18,936,416,624
370,311,0,2,635,740,622
220,311,0,21,1127,440,622
382,310,0,26,1088,764,620
336,310,0,19,861,672,620
311,310,0,4,817,622,620
255,310,0,10,889,510,620
351,309,0,17,800,702,618
286,309,0,12,701,572,618
267,309,0,2,762,534,618
247,309,0,3,787,494,618
221,308,0,2,907,442,616
192,308,0,15,910,384,616
185,308,0,18,901,370,616
264,307,0,4,792,528,614
135,307,0,20,852,270,614
321,306,0,19,766,642,612
215,306,0,1,822,430,612
351,305,0,2,570,702,610
201,305,0,14,870,402,610
173,305,0,8,773,346,610
165,305,0,26,947,330,610
313,304,0,22,993,626,608
238,304,0,10,861,476,608
131,304,0,14,904,262,608
386,303,0,21,1037,772,606
148,303,0,6,693,296,606
367,302,0,17,670,734,604
274,302,0,25,776,548,604
140,302,0,1,647,280,604
129,301,0,4,831,258,602
319,300,0,9,693,638,600
307,300,0,20,696,614,600
118,300,0,58,1275,236,600
296,299,0,11,751,592,598
235,298,0,7,932,470,596
217,298,0,8,882,434,596
197,298,0,10,947,394,596
380,297,0,19,1026,760,594
161,297,0,12,774,322,594
155,297,0,5,713,310,594
140,297,0,3,652,280,594
99,297,0,110,1320,198,594
241,296,0,11,884,482,592
201,296,0,2,807,402,592
388,295,0,5,565,776,590
228,295,0,27,1044,456,590
189,294,0,14,938,378,588
176,294,0,18,935,352,588
95,294,0,3,752,190,588
258,293,0,74,1235,516,586
303,292,0,19,1161,606,584
132,292,0,10,760,264,584
112,292,0,30,911,224,584
275,291,0,7,664,550,582
196,290,0,1,789,392,580
187,290,0,1,791,374,580
145,290,0,13,847,290,580
121,290,0,35,1152,242,580
207,289,0,3,836,414,578
243,288,0,16,914,486,576
295,286,0,25,1149,590,572
233,286,0,20,1026,466,572
206,286,0,1,846,412,572
152,286,0,8,737,304,572
113,286,0,1,723,226,572
104,286,0,17,1107,208,572
217,285,0,22,914,434,570
252,284,0,23,934,504,568
227,284,0,11,905,454,568
250,283,0,6,855,500,566
139,283,0,30,995,278,566
95,283,0,33,1212,190,566
330,282,0,14,607,660,564
125,282,0,9,843,250,564
119,282,0,21,1165,238,564
271,281,0,20,1102,542,562
177,281,0,20,834,354,562
261,280,0,33,1207,522,560
200,280,0,21,968,400,560
153,280,0,2,736,306,560
109,280,0,6,733,218,560
104,280,0,1,729,208,560
305,279,0,17,648,610,558
221,279,0,7,912,442,558
345,278,0,15,805,690,556
325,278,0,1,554,650,556
212,278,0,1,828,424,556
354,277,0,9,637,708,554
274,277,0,7,782,548,554
148,277,0,8,725,296,554
284,276,0,35,1261,568,552
133,276,0,1,678,266,552
129,276,0,5,720,258,552
251,275,0,1,827,502,550
233,275,0,30,1185,466,550
176,275,0,14,915,352,550
161,274,0,40,919,322,548
243,273,0,18,947,486,546
230,273,0,1,968,460,546
150,273,0,1,697,300,546
300,272,0,8,668,600,544
197,272,0,3,803,394,544
103,272,0,18,882,206,544
364,271,0,21,962,728,542
312,271,0,16,984,624,542
238,271,0,4,928,476,542
223,271,0,16,1305,446,542
94,271,0,27,817,188,542
351,270,0,14,853,702,540
291,270,0,16,977,582,540
280,270,0,7,817,560,540
260,270,0,23,1034,520,540
372,269,0,8,716,744,538
239,268,0,9,924,478,536
180,268,0,14,906,360,536
136,268,0,29,1520,272,536
367,267,0,9,806,734,534
341,267,0,20,1249,682,534
331,267,0,19,675,662,534
204,267,0,26,1345,408,534
106,267,0,18,786,212,534
305,266,0,5,653,610,532
285,266,0,5,858,570,532
188,266,0,15,916,376,532
297,265,0,13,810,594,530
232,265,0,19,1078,464,530
160,265,0,11,858,320,530
121,265,0,4,718,242,530
98,265,0,5,752,196,530
376,264,0,5,660,752,528
371,263,0,5,712,742,526
352,263,0,15,826,704,526
271,263,0,30,974,542,526
220,263,0,33,1542,440,526
209,263,0,7,856,418,526
159,263,0,2,770,318,526
143,263,0,1,664,286,526
127,263,0,32,920,254,526
182,262,0,5,862,364,524
135,262,0,9,924,270,524
313,261,0,36,730,626,522
298,260,0,4,698,596,520
249,259,0,24,1339,498,518
114,259,0,17,958,228,518
103,259,0,14,765,206,518
270,258,0,26,926,540,516
221,258,0,1,900,442,516
357,257,0,35,1037,714,514
285,257,0,38,1076,570,514
260,257,0,21,879,520,514
243,257,0,8,981,486,514
364,256,0,3,751,728,512
204,256,0,4,836,408,512
170,256,0,13,920,340,512
295,255,0,10,759,590,510
191,255,0,23,1203,382,510
126,255,0,7,828,252,510
121,255,0,2,774,242,510
185,254,0,11,826,370,508
152,254,0,17,915,304,508
107,254,0,2,731,214,508
101,254,0,6,731,202,508
273,253,0,8,880,546,506
181,253,0,5,847,362,506
162,253,0,12,791,324,506
368,252,0,37,804,736,504
245,252,0,1,820,490,504
365,251,0,2,647,730,502
154,251,0,10,841,308,502
249,250,0,25,1027,498,500
167,250,0,10,1012,334,500
139,250,0,35,1077,278,500
347,249,0,18,675,694,498
300,249,0,19,682,600,498
280,249,0,29,984,560,498
263,249,0,20,1083,526,498
222,249,0,35,1178,444,498
331,248,0,20,672,662,496
270,247,0,4,787,540,494
242,247,0,2,830,484,494
208,247,0,25,922,416,494
186,247,0,10,920,372,494
139,247,0,9,814,278,494
99,247,0,14,808,198,494
383,246,0,6,679,766,492
173,246,0,3,800,346,492
148,246,0,4,832,296,492
131,246,0,23,1156,262,492
313,245,0,10,684,626,490
118,245,0,44,1312,236,490
372,244,0,4,684,744,488
164,244,0,1,773,328,488
267,243,0,11,856,534,486
246,243,0,14,1016,492,486
291,242,0,20,724,582,484
274,242,0,12,1342,548,484
209,242,0,5,850,418,484
365,241,0,1,625,730,482
282,241,0,8,792,564,482
237,241,0,14,932,474,482
302,240,0,7,684,604,480
166,240,0,4,836,332,480
99,240,0,15,771,198,480
319,239,0,15,705,638,478
254,239,0,2,663,508,478
216,239,0,20,981,432,478
105,239,0,52,1028,210,478
263,238,0,8,843,526,476
230,238,0,8,852,460,476
183,238,0,11,858,366,476
140,238,0,6,806,280,476
121,238,0,15,788,242,476
191,237,0,23,1083,382,474
368,236,0,12,759,736,472
298,236,0,7,795,596,472
287,236,0,21,898,574,472
173,236,0,18,1130,346,472
351,235,0,31,851,702,470
205,235,0,8,867,410,470
145,235,0,7,823,290,470
378,234,0,67,923,756,468
242,234,0,28,957,484,468
201,234,0,5,846,402,468
163,234,0,1,817,326,468
335,233,0,22,742,670,466
150,233,0,6,876,300,466
296,232,0,12,900,592,464
289,232,0,1,692,578,464
264,232,0,17,899,528,464
225,231,0,6,897,450,462
214,231,0,18,1208,428,462
187,231,0,19,1136,374,462
367,230,0,21,750,734,460
220,230,0,5,896,440,460
173,230,0,7,901,346,460
166,230,0,4,883,332,460
355,229,0,7,687,710,458
240,229,0,10,927,480,458
162,229,0,4,895,324,458
320,228,0,25,741,640,456
313,228,0,5,580,626,456
285,227,0,1,693,570,454
266,227,0,2,726,532,454
246,227,0,1,763,492,454
146,227,0,11,860,292,454
111,227,0,32,1243,222,454
273,226,0,12,896,546,452
230,226,0,3,822,460,452
151,226,0,10,894,302,452
102,226,0,26,1155,204,452
213,225,0,3,833,426,450
375,224,0,18,946,750,448
337,224,0,20,768,674,448
205,223,0,11,909,410,446
349,222,0,20,880,698,444
285,222,0,13,778,570,444
261,222,0,1,752,522,444
201,222,0,9,961,402,444
180,222,0,23,1029,360,444
158,222,0,11,973,316,444
124,221,0,74,1057,248,442
302,220,0,23,859,604,440
268,220,0,12,943,536,440
186,220,0,7,946,372,440
112,220,0,23,1428,224,440
93,220,0,2,586,186,440
98,219,0,4,713,196,438
349,218,0,1,620,698,436
